Epoch,MaxActionDiff,MinActionDiff,MeanActionDiff,StdActionDiff,MeanReWeightingFactor,StdReWeightingFactor,MeanMinusStd,MeanPlusStd,Loss
90500,5.574707,0.006591797,-1683.4307,2.1057682,0.99999994,3.5775106,-1685.5364,-1681.325,-1683.3778
91000,6.875,0.0007324219,-1683.4829,2.0840235,1,6.0649805,-1685.5669,-1681.3989,-1683.117
91500,5.4415283,0.026245117,-1683.5573,1.9054092,0.99999994,3.2147968,-1685.4626,-1681.6519,-1683.3499
92000,5.6505127,0.0013427734,-1683.5287,1.9405905,1,3.0222652,-1685.4692,-1681.5881,-1683.481
92500,8.874023,0.017822266,-1683.258,2.2252433,1.0000001,11.2022085,-1685.4833,-1681.0328,-1683.1504
93000,6.7023926,0.0087890625,-1683.2222,2.2512546,1,5.279217,-1685.4734,-1680.971,-1683.1367
93500,6.215332,0.0068359375,-1683.374,2.098752,1,4.5139403,-1685.4728,-1681.2753,-1683.2587
94000,5.008423,0.011352539,-1682.9249,1.9530722,1,2.8475857,-1684.878,-1680.9718,-1682.8872
94500,6.827881,0.021240234,-1683.227,2.1385465,1,2.9219086,-1685.3656,-1681.0885,-1683.144
95000,6.9295654,0.0020751953,-1683.5934,2.051411,1.0000001,6.370655,-1685.6448,-1681.542,-1683.4609
95500,8.144409,0.0032958984,-1683.1171,2.2046916,1.0000001,9.60238,-1685.3218,-1680.9124,-1683.0715
96000,4.979004,0.0007324219,-1683.2676,2.053027,0.99999994,2.7299366,-1685.3206,-1681.2146,-1683.1787
96500,6.684082,0.0043945312,-1683.3394,1.9627633,0.99999994,3.0091627,-1685.3021,-1681.3766,-1683.2695
97000,5.9959717,0.0018310547,-1683.0739,2.1860309,0.9999999,4.113407,-1685.2599,-1680.8878,-1682.9781
97500,6.3238525,0.006225586,-1683.3126,2.1321201,0.9999999,4.641073,-1685.4447,-1681.1805,-1683.2024
98000,6.1987305,0.001953125,-1683.5586,2.0715196,0.99999994,2.715949,-1685.6301,-1681.487,-1683.3628
98500,6.6759033,0.014770508,-1683.2992,2.1760976,0.99999994,4.7960806,-1685.4753,-1681.123,-1683.2075
99000,5.6187744,0.00012207031,-1683.274,1.8614813,0.99999994,2.9816797,-1685.1355,-1681.4126,-1683.205
99500,9.840942,0.0015869141,-1683.3292,2.0201488,1,15.12273,-1685.3494,-1681.3091,-1683.199
100000,5.63855,0.004272461,-1683.3453,1.9210534,0.9999999,3.572513,-1685.2664,-1681.4243,-1683.1788
100500,5.3406982,0.0064697266,-1683.558,2.0237687,1,3.2908711,-1685.5818,-1681.5342,-1683.4326
101000,7.650635,0.015380859,-1683.1294,2.0727477,0.99999994,9.378241,-1685.2021,-1681.0566,-1682.98
101500,6.805786,0.009887695,-1683.3107,2.0196307,1,6.2450466,-1685.3303,-1681.291,-1683.243
102000,6.680664,0.016845703,-1683.4949,2.0199115,1,3.3890533,-1685.5148,-1681.475,-1683.4434
102500,6.751465,0.012207031,-1683.4783,2.0192404,1,5.8297358,-1685.4976,-1681.459,-1683.415
103000,6.2801514,0.005493164,-1683.2423,1.9235761,0.99999994,3.5490673,-1685.1659,-1681.3187,-1683.0289
103500,6.32959,0.0146484375,-1683.5317,2.096158,1,4.644194,-1685.6279,-1681.4355,-1683.2671
104000,6.63208,0.0061035156,-1683.3408,2.070421,0.99999994,5.4082756,-1685.4113,-1681.2704,-1683.2422
104500,5.468384,0.028686523,-1683.3429,1.939684,1,3.5300074,-1685.2826,-1681.4032,-1683.2756
105000,6.9885254,0.011230469,-1683.3713,2.1948924,0.99999994,4.2314305,-1685.5663,-1681.1764,-1683.3232
105500,8.16394,0.003540039,-1683.2994,2.15185,1,10.021606,-1685.4513,-1681.1476,-1683.1908
106000,5.4121094,0.004638672,-1683.5698,2.1257722,0.99999994,3.3384435,-1685.6956,-1681.4441,-1683.5037
106500,5.190918,0.025634766,-1683.5864,1.9499648,1,2.3463545,-1685.5364,-1681.6365,-1683.4761
107000,9.138184,0.0021972656,-1683.6243,2.039697,1,3.5751853,-1685.664,-1681.5846,-1683.4155
107500,5.8549805,0.022216797,-1683.688,1.9448837,1,4.003192,-1685.6328,-1681.7432,-1683.3826
